level_0,level_1,flagged_columns
day,yesterday,"87, 172, 199, 322"
achiever,great,"12, 31, 87, 297"
custom,wont,"81, 243, 370"
alcoholic,drunkard,"94, 263, 380"
consumer,drinker,"94, 263, 380"
hypothermia,physical_condition,"100, 208, 211"
alcoholism,drug_addiction,"72, 94, 380"
addiction,drug_addiction,"72, 94, 380"
addiction,physical_condition,"72, 94, 380"
degree,state,"69, 146, 347"
degree,extent,"69, 146, 347"
diplomat,official,"143, 177, 325"
ambassador,diplomat,"143, 177, 325"
epidural,regional_anesthesia,"279, 326, 330"
anesthesia,regional_anesthesia,"279, 326, 330"
anesthesia,physical_condition,"279, 326, 330"
defense,justification,"144, 188, 259"
explanation,justification,"144, 188, 259"
defense,excuse,"144, 188, 259"
basic_cognitive_process,remembering,"145, 214, 215"
natural_object,world,"148, 269, 371"
banjo,stringed_instrument,"84, 272, 345"
guidebook,handbook,"37, 71, 295"
fair,show,"6, 26, 317"
book,reference_book,"37, 71, 295"
handbook,reference_book,"37, 71, 295"
briar,rose,"24, 27, 138"
bird,passerine,"19, 173, 352"
robin,thrush,"19, 173, 352"
oscine,thrush,"19, 173, 352"
oscine,passerine,"19, 173, 352"
employee,workman,"223, 321, 353"
employee,worker,"223, 321, 353"
hired_hand,ranch_hand,"223, 321, 353"
drinker,drunkard,"94, 263, 380"
hired_hand,laborer,"223, 321, 353"
cowboy,ranch_hand,"223, 321, 353"
laborer,workman,"223, 321, 353"
linear_unit,miler,"227, 377"
judgement,legal_document,"245, 265"
beam,light,"246, 272"
beam,moonbeam,"246, 272"
side,surface,"251, 261"
large_integer,thirty,"220, 349"
consciousness,waking,"209, 313"
cognitive_state,consciousness,"209, 313"
change_of_state,cooking,"16, 373"
cross,structure,"207, 271"
feedback,natural_process,"17, 299"
act,stay,"198, 268"
species,taxonomic_group,"193, 375"
boundary,surface,"251, 261"
bottom,heel,"251, 261"
bed,berth,"8, 379"
berth,lower,"8, 379"
biological_group,group,"193, 375"
biological_group,taxonomic_group,"193, 375"
doomed,people,"192, 234"
fool,simpleton,"191, 305"
coach,trainer,"20, 358"
leader,trainer,"20, 358"
cypriniform_fish,topminnow,"189, 247"
molly,topminnow,"189, 247"
bony_fish,fish,"189, 247"
cypriniform_fish,soft-finned_fish,"189, 247"
bony_fish,teleost_fish,"189, 247"
soft-finned_fish,teleost_fish,"189, 247"
bottom,side,"251, 261"
contact,touch,"24, 53"
present,tonight,"186, 267"
approval,encouragement,"185, 206"
course,education,"28, 96"
material,plant_material,"180, 382"
plant_material,wood,"180, 382"
act,production,"29, 149"
making,production,"29, 149"
meaning,message,"30, 66"
spruce,wood,"180, 382"
archipelago,land,"179, 291"
dentine,ivory,"32, 235"
animal_material,dentine,"32, 235"
archipelago,japan,"179, 291"
conversation,nothings,"171, 312"
material,mineral,"170, 230"
liquid,water,"34, 130"
garage,outbuilding,"35, 136"
mineral,ore,"170, 230"
concentrate,ore,"170, 230"
doctrine,philosophical_doctrine,"167, 174"
aesthetic,philosophical_doctrine,"167, 174"
hillside,slope,"7, 219"
activity,try,"7, 35"
labor,manual_labor,"257, 260"
angiospermous_tree,tree,"38, 294"
citrus,fruit_tree,"38, 294"
angiospermous_tree,fruit_tree,"38, 294"
citrus,mandarin,"38, 294"
simpleton,stupid,"38, 124"
horizontal_surface,platform,"39, 341"
belief,doctrine,"167, 174"
holder,landowner,"167, 194"
handling,manual_labor,"257, 260"
mail,message,"40, 90"
express,mail,"40, 90"
holder,owner,"167, 194"
owner,person,"167, 194"
juvenile,kid,"43, 126"
head,leader,"163, 382"
