level_0,level_1,flagged_columns
category,sort,"3, 285, 446, 488, 522, 643, 706, 768"
bad,worse,"97, 629, 633, 641, 668, 709, 722"
affirmative,avowal,"141, 321, 391, 408, 595, 693"
glad,iridaceous_plant,"1, 322, 339, 473, 713, 723"
guitar,stringed_instrument,"33, 51, 81, 511, 515, 697"
affirmative,yes,"141, 321, 391, 408, 595, 693"
assertion,avowal,"141, 321, 391, 408, 595, 693"
Hinduism,yoga,"7, 127, 227, 706, 730"
fine,penalty,"49, 280, 296, 471, 570"
chromatic_color,red,"9, 300, 320, 476, 599"
belief,religion,"7, 127, 227, 706, 730"
Hinduism,religion,"7, 127, 227, 706, 730"
length,physical_property,"110, 604, 609, 651, 741"
better,good,"36, 165, 403, 422, 722"
good,quality,"36, 165, 403, 422, 722"
attire,clothing,"118, 258, 272, 373, 516"
attire,costume,"118, 258, 272, 373, 516"
payment,penalty,"49, 280, 296, 471, 570"
large_indefinite_quantity,lots,"166, 218, 299, 378, 701"
motion,travelling,"153, 389, 568, 680, 719"
indefinite_quantity,large_indefinite_quantity,"166, 218, 299, 378, 701"
flu,respiratory_disease,"188, 395, 526, 688"
drama,dramatic_composition,"189, 328, 619, 668"
fair,show,"178, 622, 756, 761"
sacred_text,writing,"173, 465, 632, 715"
legal_document,return,"172, 195, 390, 437"
bible,sacred_text,"173, 465, 632, 715"
homo,humans,"319, 352, 475, 496"
hominid,homo,"319, 352, 475, 496"
group,humans,"319, 352, 475, 496"
complex_number,real,"184, 256, 668, 761"
motivation,rational_motive,"161, 186, 535, 596"
rational_motive,reason,"161, 186, 535, 596"
plastic,solid,"193, 271, 399, 441"
applicant,person,"206, 354, 458, 726"
process,processing,"504, 631, 643, 768"
activity,search,"200, 264, 465, 634"
electromagnetic_unit,unit_of_measurement,"28, 295, 435, 642"
information,skinny,"147, 276, 583, 692"
buddy,friend,"48, 90, 271, 452"
fiction,novel,"40, 239, 272, 311"
current_unit,electromagnetic_unit,"28, 295, 435, 642"
artifact,sheet,"328, 399, 417, 539"
panel,sheet,"328, 399, 417, 539"
flirt,woman,"124, 178, 632, 686"
amp,current_unit,"28, 295, 435, 642"
day,tomorrow,"27, 131, 444, 748"
accident,coincidence,"235, 357, 394, 671"
fever,symptom,"395, 533, 608, 658"
difference,quality,"109, 120, 318, 460"
consumption,eating,"105, 390, 489, 686"
coldness,vasoconstrictor,"109, 323, 470, 546"
accident,happening,"235, 357, 394, 671"
adipose_tissue,animal_tissue,"91, 199, 303, 688"
adipose_tissue,cellulite,"91, 199, 303, 688"
free,people,"474, 559, 572, 588"
religion,theological_virtue,"7, 127, 488, 730"
relative,sibling,"51, 117, 334, 645"
indefinite_quantity,output,"505, 644, 650, 766"
output,picking,"505, 644, 650, 766"
Estonian_monetary_unit,monetary_unit,"267, 305, 384, 669"
Estonian_monetary_unit,sent,"267, 305, 384, 669"
extent,limit,"231, 253, 537, 588"
applicant,hopeful,"206, 354, 458, 726"
injustice,wrong,"75, 347, 405, 438"
injustice,unrighteousness,"75, 347, 405, 438"
external_body_part,head,"76, 160, 610, 635"
hypothermia,physical_condition,"66, 369, 544, 548"
light,moonlight,"67, 418, 725, 730"
data_processing,operation,"504, 631, 643, 768"
data_processing,processing,"504, 631, 643, 768"
operation,sorting,"504, 631, 643, 768"
girl,woman,"35, 501, 596"
abundance,plenty,"34, 480, 667"
fuck,sexual_intercourse,"31, 102, 692"
progestin,steroid_hormone,"30, 426, 756"
attacker,stoner,"696, 721, 734"
progesterone,progestin,"30, 426, 756"
old,past,"13, 245, 363"
animal,young,"36, 228, 702"
message,proposal,"636, 662, 688"
structural_member,upright,"15, 212, 753"
clear,innocence,"37, 79, 121"
condition,innocence,"37, 79, 121"
fool,simpleton,"37, 353, 569"
advice,proposal,"636, 662, 688"
cat,feline,"256, 649, 753"
greatness,importance,"289, 351, 599"
bitt,post,"15, 212, 753"
listening,sensing,"21, 104, 712"
post,upright,"15, 212, 753"
agitation,upset,"242, 277, 557"
garment,trouser,"278, 364, 657"
addiction,physical_condition,"309, 534, 738"
descent,steep,"207, 419, 664"
eighty,large_integer,"207, 487, 527"
descent,slope,"207, 419, 664"
conflict,fighting,"9, 313, 478"
alcoholism,drug_addiction,"309, 534, 738"
accusation,blame,"273, 306, 614"
difficulty,fix,"257, 380, 407"
payment,spending,"287, 297, 448"
hurting,symptom,"258, 463, 549"
shorts,trouser,"278, 364, 657"
disorder,ill,"275, 312, 472"
hole,natural_depression,"212, 657, 753"
animal,giant,"268, 425, 578"
dentine,ivory,"226, 404, 763"
animal_material,dentine,"226, 404, 763"
hole,pit,"212, 657, 753"
condition,guilt,"32, 690, 743"
cost,expense,"249, 287, 599"
kin,relative,"255, 750, 753"
carnivore,feline,"256, 649, 753"
agitation,psychological_state,"242, 277, 557"
