level_0,level_1,flagged_columns
fuck,sexual_intercourse,"27, 80, 124, 137, 212, 515, 564, 638, 646, 760"
acknowledgment,message,"63, 129, 133, 142, 232, 369, 545, 570"
glad,iridaceous_plant,"190, 380, 384, 400, 565, 582, 702, 707"
acknowledgment,thanks,"63, 129, 133, 142, 232, 369, 545, 570"
difference,quality,"102, 188, 205, 286, 300, 461, 627, 700"
fair,show,"113, 282, 355, 418, 533, 621, 661, 681"
funny,joke,"79, 105, 143, 161, 312, 333, 708"
extent,limit,"172, 217, 381, 489, 595, 656, 738"
person,scientist,"156, 231, 321, 397, 573, 756"
linguist,phonetician,"156, 231, 321, 397, 573, 756"
electronic_communication,transmission,"215, 248, 284, 337, 372, 566"
communication,transmission,"215, 248, 284, 337, 372, 566"
length,physical_property,"192, 221, 348, 551, 583, 692"
achiever,great,"359, 401, 470, 488, 601, 613"
linguist,scientist,"156, 231, 321, 397, 573, 756"
electronic_communication,email,"215, 248, 284, 337, 372, 566"
phonetician,sweet,"156, 231, 321, 397, 573, 756"
affirmative,avowal,"105, 228, 269, 280, 464, 579"
meaning,message,"57, 123, 224, 276, 283, 528"
affirmative,yes,"105, 228, 269, 280, 464, 579"
motivation,rational_motive,"64, 165, 629, 661, 697, 703"
book,reference_book,"82, 214, 326, 561, 696, 758"
handbook,reference_book,"82, 214, 326, 561, 696, 758"
rational_motive,reason,"64, 165, 629, 661, 697, 703"
guidebook,handbook,"82, 214, 326, 561, 696, 758"
choice,vote,"144, 147, 292, 417, 542, 578"
assertion,avowal,"105, 228, 269, 280, 464, 579"
plus,quality,"118, 200, 295, 459, 616"
Estonian_monetary_unit,monetary_unit,"53, 145, 254, 294, 609"
complex_number,real,"5, 129, 498, 598, 763"
assistant,model,"24, 258, 333, 384, 488"
quality,worthlessness,"73, 142, 495, 570, 724"
damn,worthlessness,"73, 142, 495, 570, 724"
lovely,photographer's_model,"24, 258, 333, 384, 488"
holy,topographic_point,"63, 369, 377, 476, 604"
assistant,worker,"24, 258, 333, 384, 488"
readiness,ready,"13, 23, 119, 424, 506"
model,photographer's_model,"24, 258, 333, 384, 488"
readiness,state,"13, 23, 119, 424, 506"
attribute,space,"152, 319, 475, 509, 634"
ending,stop,"27, 208, 218, 716, 742"
Estonian_monetary_unit,sent,"53, 145, 254, 294, 609"
offer,speech_act,"205, 483, 492, 632, 662"
point,topographic_point,"63, 369, 377, 476, 604"
structural_member,upright,"116, 313, 370, 617"
post,upright,"116, 313, 370, 617"
administrator,head,"52, 236, 435, 516"
bitt,post,"116, 313, 370, 617"
United_States_liquid_unit,gallon,"92, 170, 335, 588"
liquid_unit,volume_unit,"92, 170, 335, 588"
natural_object,world,"15, 579, 611, 680"
head,leader,"52, 236, 435, 516"
academic_administrator,administrator,"52, 236, 435, 516"
planet,terrestrial_planet,"83, 104, 110, 228"
equal,person,"82, 190, 272, 711"
celestial_body,planet,"83, 104, 110, 228"
earth,terrestrial_planet,"83, 104, 110, 228"
