level_0,level_1,flagged_columns
association,league,"12, 39, 60"
association,organization,"12, 39, 60"
officer,serviceman,"2, 70"
artifact,layer,"1, 95"
macromolecule,protein,"73, 98"
airfield,facility,"71, 96"
airfield,airport,"71, 96"
factor,fundamental,"49, 57"
cause,factor,"49, 57"
tsunami,wave,"36, 67"
movement,wave,"36, 67"
loss,transferred_property,"24, 80"
force,troops,"21, 78"
natural_object,universe,"18, 71"
lipid,macromolecule,6
champagne,sparkling_wine,7
sparkling_wine,wine,7
hour,time_unit,8
sin,unrighteousness,9
math,science,10
discipline,science,10
cosmetic,makeup,10
cosmetic,toiletry,10
instrumentality,toiletry,10
scale,standard,10
minutes,written_record,11
lipid,oil,6
poetry,writing_style,5
hike,walk,12
travel,walk,12
container,purse,12
dinner,feast,13
dinner,party,13
body,natural_object,13
diversion,gaming,14
designation,diagnosis,15
determination,discovery,15
designation,determination,15
photo,representation,16
county,region,17
gift,prize,5
attribute,space,18
band,strip,19
band,elastic,19
desk,table,20
furniture,table,20
floor,horizontal_surface,20
adrenaline,hormone,4
ceremony,presentation,21
activity,ceremony,21
basic_cognitive_process,learning,21
athletic_game,outdoor_game,22
field_game,hockey,22
field_game,outdoor_game,22
attempt,pains,23
charity,foundation,3
activity,preparation,25
planning,preparation,25
amphibian,frog,26
amphibian,vertebrate,26
compassion,sympathy,26
fishing,outdoor_sport,27
sound,twitter,28
adversity,misfortune,28
adversity,disaster,28
fortune,misfortune,28
band,social_group,29
connection,join,29
connection,shape,29
dress,gown,30
handicraft,weaving,31
handicraft,trade,31
occupation,trade,31
blood,liquid_body_substance,31
decorativeness,finish,31
death,grave,32
death,end,32
partner,relative,32
lady,woman,33
broadcasting,radio,34
box,strongbox,35
safe,strongbox,35
lid,protective_fold,1
age,newness,100
drop,small_indefinite_quantity,36
drop,tear,36
breakfast,meal,36
propulsion,shooting,36
career,occupation,37
point,spot,37
inaction,state,38
halt,inaction,38
activity,music,40
singing,vocal_music,40
music,vocal_music,40
karaoke,singing,40
jar,vessel,40
mercantile_establishment,store,41
accomplishment,smooth,42
religious_song,spiritual,43
expressive_style,music_genre,43
music_genre,religious_music,43
religious_music,religious_song,43
fever,symptom,44
daylight,time_period,44
hostel,hotel,45
religious,religious_person,46
person,religious_person,46
embarrassment,shame,47
briar,rose,48
hominid,human,49
magnitude_relation,ratio,100
frequency,ratio,100
hound,hunting_dog,50
beagle,hound,50
dog,hunting_dog,50
comment,statement,51
en,linear_unit,52
la,metallic_element,52
shy,throw,52
deity,goddess,53
fatality,killing,54
death,fatality,54
function,trigonometric_function,54
mathematical_relation,relation,54
function,mathematical_relation,54
cos,trigonometric_function,54
dish,snack_food,55
dish,nutriment,55
sandwich,snack_food,55
attempt,struggle,55
kith,social_group,56
animal_material,dentine,57
dentine,ivory,57
geographical_area,north,58
crazy,lunatic,58
lunatic,sick_person,58
service,work,59
organ,tongue,61
film,show,62
movie,show,62
show,social_event,62
estrogen,steroid_hormone,63
breast,external_body_part,63
fair,show,63
military_vehicle,vehicle,64
military_vehicle,tank,64
South_African_monetary_unit,rand,65
South_African_monetary_unit,monetary_unit,65
tart,woman,66
examination,scan,66
financial_condition,poverty,68
deprivation,poverty,68
condition,financial_condition,68
growth,organic_process,69
party,social,69
frequency,incidence,100
jest,wit,99
influence,power,71
force,influence,71
radical,terrorist,72
person,radical,72
colors,flag,97
bible,sacred_text,73
sacred_text,writing,73
energy,heat,74
episode,happening,74
farm_building,stable,75
building,farm_building,75
feeling,gratitude,76
inclination,sympathy,76
attitude,inclination,76
excitement,joy,76
conveyance,tram,77
creation,piece,79
article,piece,79
communication,exam,80
artifact,opening,80
exit,opening,80
copy,representation,81
copy,imitation,81
fake,imitation,81
angiospermous_tree,tree,82
citrus,mandarin,82
citrus,fruit_tree,82
angiospermous_tree,fruit_tree,82
speech,words,82
legal_status,status,83
legal_status,marital_status,83
marital_status,marriage,83
affair,ceremony,83
ceremony,wedding,83
affair,concern,83
charge,cost,84
fee,fixed_charge,84
fee,tuition,84
charge,fixed_charge,84
educator,professional,84
educator,teacher,84
end,tip,84
care,treatment,85
order,state,86
order,peace,86
drop,sphere,86
round_shape,sphere,86
round_shape,shape,86
mistake,nonaccomplishment,87
blunder,mistake,87
blunder,fumble,87
king,sovereign,88
ruler,sovereign,88
person,ruler,88
linear_unit,mile,89
point,topographic_point,89
holy,topographic_point,89
star,sun,89
diplomat,official,90
ambassador,diplomat,90
official,skilled_worker,90
body,occupational_group,91
ministry,priesthood,91
priesthood,profession,91
occupational_group,profession,91
gathering,grade,91
dawn,hour,91
atm,pressure_unit,92
pressure_unit,unit_of_measurement,92
grounds,information,92
amalgamation,consolidation,93
combination,consolidation,93
change_of_integrity,combination,93
buy,purchase,94
abuse,mistreatment,95
animal_tissue,flap,1
flap,protective_fold,1
colours,emblem,97
legal_document,license,2
financial_institution,institution,3
control,power,2
financial_institution,foundation,3
freshness,newness,100
cereal,hot_cereal,96
breakfast_food,cereal,96
breakfast_food,food,96
grits,hot_cereal,96
species,taxonomic_group,97
biological_group,group,97
biological_group,taxonomic_group,97
animal,male,97
