level_0,level_1,flagged_columns
meaning,message,"64, 147, 283, 337, 443, 527, 681"
knowing,understanding,"77, 129, 192, 201, 319, 400, 757"
latest,news,"360, 380, 405, 413, 638, 760"
atmosphere,sky,"163, 240, 330, 486, 720"
hillside,slope,"157, 429, 454, 465, 626"
atmosphere,gas,"163, 240, 330, 486, 720"
body_covering,skin,"66, 357, 520, 662, 729"
function,mathematical_relation,"13, 257, 583, 612"
cos,trigonometric_function,"13, 257, 583, 612"
imaginary_being,monster,"105, 209, 297, 663"
ending,outcome,"123, 305, 506, 619"
core,set,"136, 344, 379, 382"
assertion,avowal,"82, 239, 470, 664"
God,divine,"7, 29, 101, 196"
mathematical_relation,relation,"13, 257, 583, 612"
little,small_indefinite_quantity,"95, 399, 726, 743"
attire,costume,"126, 249, 292, 729"
morning,time_period,"148, 360, 477, 761"
envy,jealousy,"23, 43, 452, 600"
guitar,stringed_instrument,"128, 250, 252, 311"
grammatical_category,tense,"278, 364, 515, 534"
perfect,tense,"278, 364, 515, 534"
attire,clothing,"126, 249, 292, 729"
function,trigonometric_function,"13, 257, 583, 612"
activity,job,"147, 319, 381, 649"
class,grammatical_category,"278, 364, 515, 534"
airbus,airliner,"19, 345, 610, 652"
longer,person,"69, 221, 447, 589"
enlisted_person,soldier,"310, 457, 599, 612"
affirmative,yes,"82, 239, 470, 664"
affirmative,avowal,"82, 239, 470, 664"
structural_member,upright,"186, 313, 468, 691"
bitt,post,"186, 313, 468, 691"
planet,terrestrial_planet,"83, 264, 272, 677"
enlisted_person,serviceman,"310, 457, 599, 612"
fodder,soldier,"310, 457, 599, 612"
celestial_body,planet,"83, 264, 272, 677"
earth,terrestrial_planet,"83, 264, 272, 677"
hospital,medical_building,"156, 226, 401, 673"
building,medical_building,"156, 226, 401, 673"
airliner,airplane,"19, 345, 610, 652"
area,open,"159, 313, 377, 489"
hot_pepper,pepper,"300, 347, 388, 632"
pepper,solanaceous_vegetable,"300, 347, 388, 632"
chilli,hot_pepper,"300, 347, 388, 632"
physical_condition,pregnancy,"372, 565, 688, 739"
hunting,outdoor_sport,"213, 237, 563, 742"
head,leader,"52, 376, 435, 458"
academic_administrator,administrator,"52, 376, 435, 458"
academic_administrator,dean,"52, 376, 435, 458"
administrator,head,"52, 376, 435, 458"
drinking_vessel,stoup,"171, 420, 462, 646"
drinking_vessel,vessel,"171, 420, 462, 646"
hostel,hotel,"16, 47, 241, 319"
post,upright,"186, 313, 468, 691"
produce,vegetable,"300, 347, 388, 632"
solanaceous_vegetable,vegetable,"300, 347, 388, 632"
choice,favorite,"184, 518, 586"
animal_skin,hide,"62, 561, 766"
drygoods,white_goods,"204, 210, 404"
commodity,drygoods,"204, 210, 404"
laundry,white_goods,"204, 210, 404"
lining,protective_covering,"59, 356, 434"
drink,helping,"205, 391, 588"
choice,decision_making,"184, 518, 586"
force,men,"172, 582, 655"
starting,turn,"173, 540, 709"
mustard,rape,"172, 248, 344"
dawn,hour,"329, 332, 494"
freedom,state,"165, 199, 451"
boundary,edge,"349, 479, 615"
timepiece,watch,"189, 490, 496"
facing,lining,"59, 356, 434"
genre,kind,"56, 57, 115"
manner,property,"43, 293, 411"
feeling,sensitivity,"626, 648, 671"
caustic,compound,"67, 183, 286"
feelings,sensitivity,"626, 648, 671"
balancing,equalization,"211, 585, 607"
leave,time_off,"214, 404, 765"
plot,storyline,"505, 646, 720"
fiction,story,"505, 646, 720"
plot,story,"505, 646, 720"
idea,inspiration,"141, 340, 687"
banjo,stringed_instrument,"143, 290, 624"
activity,turn,"173, 540, 709"
bone,tooth,"174, 418, 623"
magazine,press,"353, 423, 532"
delight,pleasure,"343, 497, 642"
devastation,ruin,"178, 359, 388"
deterioration,devastation,"178, 359, 388"
breakfast_food,food,"287, 346, 401"
pearly,tooth,"174, 418, 623"
bone,connective_tissue,"174, 418, 623"
reference_point,target,"159, 181, 317"
indefinite_quantity,worth,"316, 391, 455"
Indian,bohemian,"163, 185, 482"
cost,expense,"316, 384, 429"
coat,jacket,"235, 663, 739"
indicator,signal,"159, 181, 317"
educator,professional,"140, 380, 528"
educator,teacher,"140, 380, 528"
person,person_of_color,"163, 185, 482"
difference,quality,"161, 233, 744"
communication,exam,"315, 441, 509"
property,style,"315, 589, 694"
Asian,Indian,"163, 185, 482"
Asian,person_of_color,"163, 185, 482"
indicator,reference_point,"159, 181, 317"
dying,end,"312, 477, 616"
cereal,hot_cereal,"287, 346, 401"
consumption,eating,"307, 528, 549"
rational_number,real_number,"85, 159, 685"
act,equalization,"211, 585, 607"
message,publicity,"310, 425, 762"
physical_condition,sleep,"492, 665, 667"
field_game,outdoor_game,"270, 701, 752"
animal,male,"79, 418, 602"
fraction,rational_number,"85, 159, 685"
common_fraction,fraction,"85, 159, 685"
common_fraction,half,"85, 159, 685"
athletic_game,outdoor_game,"270, 701, 752"
letting,property,"66, 293, 417"
field_game,hockey,"270, 701, 752"
grits,hot_cereal,"287, 346, 401"
breakfast_food,cereal,"287, 346, 401"
ill_health,infection,"285, 583, 669"
area,section,"275, 322, 581"
physical_property,weight,"44, 355, 380"
person,warrior,"46, 466, 526"
officer,serviceman,"386, 444, 727"
bodily_process,tears,"499, 566, 640"
brave,warrior,"46, 466, 526"
book,reference_book,"48, 53, 657"
neighbourhood,section,"275, 322, 581"
night,time_period,"492, 537, 721"
aquatic_bird,wading_bird,"254, 601, 645"
act,production,"105, 362, 390"
making,production,"105, 362, 390"
aquatic_bird,waterfowl,"121, 625, 733"
anseriform_bird,waterfowl,"121, 625, 733"
time_period,week,"110, 273, 666"
place,point,"129, 182, 219"
fine,penalty,"403, 547, 749"
diplomat,official,"120, 203, 363"
ambassador,diplomat,"120, 203, 363"
official,skilled_worker,"120, 203, 363"
dinner,feast,"437, 439, 549"
anseriform_bird,goose,"121, 625, 733"
message,proposal,"118, 265, 549"
advice,proposal,"118, 265, 549"
payment,penalty,"403, 547, 749"
alley,street,"393, 630, 685"
gesture,motion,"427, 429, 435"
act,stay,"120, 333, 378"
road,thoroughfare,"393, 630, 685"
street,thoroughfare,"393, 630, 685"
implementation,means,"123, 443, 757"
act,implementation,"123, 443, 757"
old,past,"253, 284, 542"
athletic_facility,gym,"124, 334, 622"
athletic_facility,facility,"124, 334, 622"
victory,win,"261, 422, 539"
priest,priestess,"114, 222, 700"
dinner,party,"437, 439, 549"
information,propaganda,"425, 428, 571"
disadvantage,liability,"90, 597, 613"
catch,drawback,"90, 597, 613"
speech,words,"116, 443, 714"
bible,sacred_text,"110, 202, 584"
sacred_text,writing,"110, 202, 584"
bad,liability,"90, 597, 613"
disadvantage,drawback,"90, 597, 613"
point,topographic_point,"29, 640, 747"
ending,victory,"261, 422, 539"
diversion,gaming,"32, 419, 709"
elasticity,physical_property,"31, 91, 393"
dress,gown,"34, 318, 644"
