level_0,level_1,flagged_columns
iridaceous_plant,iris,"77, 111, 151, 280, 367"
adult,host,"41, 133, 204, 282"
jewelry,pin,"80, 269, 323, 345"
beverage,coffee,"4, 67, 271, 350"
guitar,stringed_instrument,"110, 238, 307, 343"
attribute,space,"90, 159, 350, 377"
occupation,trade,"115, 160, 180, 278"
handicraft,trade,"115, 160, 180, 278"
handicraft,weaving,"115, 160, 180, 278"
physical_condition,sleep,"118, 136, 209"
even-toed_ungulate,swine,"6, 77, 341"
placental,ungulate,"6, 77, 341"
choice,vote,"85, 125, 195"
plumbing_fixture,shower,"14, 225, 266"
abuse,mistreatment,"109, 194, 377"
pig,swine,"6, 77, 341"
even-toed_ungulate,ungulate,"6, 77, 341"
commodity,merchandise,"131, 165, 373"
allotment,distribution,"336, 374, 382"
allotment,grant,"336, 374, 382"
award,grant,"336, 374, 382"
merchandise,release,"131, 165, 373"
bar,room,"108, 215, 362"
movement,wave,"76, 265, 346"
tsunami,wave,"76, 265, 346"
game,table_game,"68, 184, 296"
billiards,table_game,"68, 184, 296"
apartment,housing,"61, 157, 226"
housing,structure,"61, 157, 226"
frame,framework,"57, 116, 347"
framework,supporting_structure,"57, 116, 347"
structure,supporting_structure,"57, 116, 347"
lunch,meal,"44, 52, 206"
blog,diary,"10, 27, 336"
ruler,sovereign,"41, 192, 343"
king,sovereign,"41, 192, 343"
person,ruler,"41, 192, 343"
iron,metallic_element,"96, 157, 351"
nap,time_period,"209, 252, 345"
printer,skilled_worker,"35, 135, 182"
artwork,drawing,"11, 142, 174"
defeated,people,"27, 128, 302"
math,science,"25, 166, 257"
discipline,science,"25, 166, 257"
screen,surface,"22, 259, 288"
disturbance,motion,"18, 119, 152"
disturbance,havoc,"18, 119, 152"
artifact,fixture,"14, 225, 266"
fixture,plumbing_fixture,"14, 225, 266"
chromatic_color,purple,"14, 254, 369"
exhilaration,thrill,"17, 202, 233"
exhilaration,joy,"17, 202, 233"
container,wheeled_vehicle,"290, 374"
season,summer,"15, 205"
motor_vehicle,self-propelled_vehicle,"290, 374"
car,motor_vehicle,"290, 374"
self-propelled_vehicle,wheeled_vehicle,"290, 374"
physical_condition,pregnancy,"13, 157"
short,tract,"285, 352"
hole,pit,"19, 154"
hole,natural_depression,"19, 154"
elevator,lifting_device,"255, 258"
device,lifting_device,"255, 258"
indefinite_quantity,large_indefinite_quantity,"251, 328"
joint,synovial_joint,"12, 211"
large_indefinite_quantity,lots,"251, 328"
greatness,importance,"245, 251"
ginger,herb,"245, 365"
life,time_period,"23, 232"
