level_0,level_1,flagged_columns
lovely,photographer's_model,"19, 69, 210, 349, 364, 386, 585, 592, 631, 640, 644, 720, 731, 739"
ceremony,wedding,"20, 29, 67, 69, 137, 182, 276, 290, 419, 603, 670, 681, 697, 718"
model,photographer's_model,"19, 69, 210, 349, 364, 386, 585, 592, 631, 640, 644, 720, 731, 739"
assistant,model,"19, 69, 210, 349, 364, 386, 585, 592, 631, 640, 644, 720, 731, 739"
assistant,worker,"19, 69, 210, 349, 364, 386, 585, 592, 631, 640, 644, 720, 731, 739"
aid,support,"19, 60, 287, 349, 375, 380, 386, 607, 622, 631, 640, 644, 720, 731"
blessing,support,"19, 60, 287, 349, 375, 380, 386, 607, 622, 631, 640, 644, 720, 731"
affair,ceremony,"20, 29, 67, 69, 137, 182, 276, 290, 419, 603, 670, 681, 697, 718"
beloved,lover,"6, 27, 55, 94, 142, 150, 214, 272, 358, 364, 622, 731, 739"
desperate,unfortunate,"78, 155, 181, 218, 226, 389, 595, 690, 750, 762"
faithful,following,"27, 79, 143, 239, 375, 380, 392, 571, 607, 753"
combatant,person,"30, 61, 140, 205, 304, 397, 456, 458, 600"
combatant,tough,"30, 61, 140, 205, 304, 397, 456, 458, 600"
people,sick,"71, 98, 125, 273, 363, 503, 537, 587, 734"
dawn,hour,"448, 470, 498, 500, 506, 511, 520, 701, 747"
dying,end,"18, 159, 176, 394, 537, 544, 587, 729, 734"
movement,wave,"54, 196, 328, 408, 486, 507, 564, 630, 642"
tsunami,wave,"54, 196, 328, 408, 486, 507, 564, 630, 642"
condition,discomfort,"62, 82, 153, 180, 181, 502, 526, 662, 669"
basic_cognitive_process,remembering,"16, 85, 162, 180, 219, 384, 483, 629, 704"
commodity,drygoods,"11, 40, 103, 341, 513, 650, 682, 695"
drygoods,white_goods,"11, 40, 103, 341, 513, 650, 682, 695"
familiarity,information,"28, 88, 174, 236, 648, 671, 682, 689"
consciousness,waking,"64, 254, 268, 324, 443, 470, 561, 680"
laundry,white_goods,"11, 40, 103, 341, 513, 650, 682, 695"
grief,sorrow,"176, 180, 277, 503, 587, 589, 681, 688"
light,moonlight,"124, 244, 285, 299, 315, 318, 733, 747"
fault,nonaccomplishment,"10, 46, 222, 249, 405, 449, 575, 622"
anniversary,day,"142, 189, 359, 366, 491, 557, 656, 696"
cognitive_state,consciousness,"64, 254, 268, 324, 443, 470, 561, 680"
pain,suffering,"52, 172, 180, 253, 394, 537, 587, 589"
heaven,region,"129, 377, 384, 609, 686, 729, 755"
religion,sect,"283, 290, 464, 522, 577, 701, 711"
excitement,joy,"421, 493, 499, 528, 607, 713, 718"
brethren,sect,"283, 290, 464, 522, 577, 701, 711"
dressing,sauce,"9, 27, 308, 405, 412, 574, 716"
good,kindness,"10, 149, 192, 206, 292, 306, 667"
person,warrior,"143, 210, 299, 309, 367, 375, 607"
attempt,pains,"14, 71, 176, 180, 452, 463, 503"
disharmony,dissonance,"201, 227, 279, 314, 488, 514, 573"
adrenaline,hormone,"89, 113, 165, 388, 482, 556, 691"
adrenaline,vasoconstrictor,"89, 113, 165, 388, 482, 556, 691"
brave,warrior,"143, 210, 299, 309, 367, 375, 607"
dissonance,sound_property,"201, 227, 279, 314, 488, 514, 573"
cleaning,improvement,"84, 212, 623, 650, 692, 695"
lost,people,"9, 14, 52, 277, 529, 589"
bodily_process,healing,"5, 83, 207, 353, 364, 733"
horizontal_surface,paved_surface,"137, 180, 228, 366, 510, 518"
perception,sensation,"317, 400, 429, 530, 610, 700"
room,toilet,"7, 110, 112, 185, 327, 391"
sensation,taste,"317, 400, 429, 530, 610, 700"
attempt,struggle,"108, 333, 378, 420, 451, 492"
acknowledgment,thanks,"155, 342, 386, 407, 444, 546"
