level_0,level_1,flagged_columns
banker,financier,"188, 254, 273, 284"
capitalist,financier,"188, 254, 273, 284"
mistake,nonaccomplishment,"73, 118, 183, 192"
blunder,mistake,"73, 118, 183, 192"
blunder,fumble,"73, 118, 183, 192"
banker,cashier,"188, 254, 273, 284"
capitalist,person,"188, 254, 273, 284"
coat,jacket,"81, 107, 234"
material_resource,riches,"48, 197, 247"
alcoholic,drunkard,"6, 114, 225"
estrogen,steroid_hormone,"101, 148, 150"
inflammation,symptom,"220, 287, 296"
bodily_process,healing,"103, 125, 296"
kin,relative,"106, 285, 293"
head,leader,"194, 217, 299"
academic_administrator,administrator,"194, 217, 299"
administrator,head,"194, 217, 299"
academic_administrator,dean,"194, 217, 299"
condition,discomfort,"77, 125, 281"
lunch,meal,"77, 159, 288"
magazine,press,"35, 71, 157"
cap,headdress,"30, 69, 184"
firearm,gun,"133, 193, 244"
anniversary,day,"9, 15, 118"
drinker,drunkard,"6, 114, 225"
Asian,person_of_color,"134, 148, 254"
Asian,Indian,"134, 148, 254"
Indian,bohemian,"134, 148, 254"
person,person_of_color,"134, 148, 254"
animal_material,dentine,"137, 172, 267"
dentine,ivory,"137, 172, 267"
pause,wait,"17, 271, 272"
consumer,drinker,"6, 114, 225"
officer,serviceman,"18, 169, 286"
deity,goddess,"18, 214"
blank,character,"161, 270"
bird,meat,"19, 53"
bird,poultry,"19, 53"
duck,duckling,"19, 53"
duck,poultry,"19, 53"
acrobatic_stunt,split,"172, 255"
fuel,substance,"160, 237"
fuel,lighter,"160, 237"
melancholy,sadness,"148, 200"
person,visionary,"148, 164"
idealist,romantic,"148, 164"
idealist,visionary,"148, 164"
physical_property,reflection,"22, 89"
echo,reflection,"22, 89"
oblivion,obscurity,"145, 255"
obscurity,standing,"145, 255"
force,troops,"141, 229"
dream,imagination,"137, 142"
basic_cognitive_process,representational_process,"137, 142"
imagination,representational_process,"137, 142"
acrobatic_stunt,stunt,"172, 255"
fake,imitation,"15, 72"
chair,seat,"136, 176"
copy,representation,"15, 72"
copy,imitation,"15, 72"
feat,stunt,"172, 255"
relation,relationship,"173, 286"
aquatic_bird,waterfowl,"12, 49"
fiction,novel,"129, 276"
bout,part,"124, 254"
reluctance,unwillingness,"122, 277"
anseriform_bird,goose,"12, 49"
disposition,unwillingness,"122, 277"
reluctance,sloth,"122, 277"
South_African_monetary_unit,rand,"32, 300"
South_African_monetary_unit,monetary_unit,"32, 300"
unfortunate,victim,"120, 227"
hypothermia,physical_condition,"119, 223"
billion,large_integer,"116, 188"
natural_object,universe,"115, 209"
electronic_equipment,telephone,"114, 178"
hillside,slope,"114, 181"
anseriform_bird,waterfowl,"12, 49"
delivery,transportation,"113, 266"
conveyance,tram,"113, 259"
apple,edible_fruit,"110, 251"
fabric,metallic,"201, 280"
travel,walk,"105, 230"
hike,walk,"105, 230"
skate,sports_equipment,"104, 300"
anesthesia,regional_anesthesia,"104, 155"
anesthesia,physical_condition,"104, 155"
epidural,regional_anesthesia,"104, 155"
body,college,"208, 239"
flu,respiratory_disease,"40, 108"
lid,protective_fold,"101, 190"
angiospermous_tree,fruit_tree,"42, 101"
citrus,mandarin,"42, 101"
angiospermous_tree,tree,"42, 101"
citrus,fruit_tree,"42, 101"
animal_tissue,flap,"101, 190"
nap,time_period,"43, 250"
flap,protective_fold,"101, 190"
graphics,visual_communication,"227, 235"
hormone,steroid_hormone,"101, 148"
progesterone,progestin,"101, 206"
progestin,steroid_hormone,"101, 206"
banjo,stringed_instrument,"99, 100"
followers,multitude,"94, 124"
adipose_tissue,animal_tissue,"241, 272"
container,purse,"94, 175"
antidiabetic,metformin,"93, 109"
accomplishment,smooth,"49, 132"
kith,social_group,"50, 126"
drug,medicine,"93, 109"
antidiabetic,medicine,"93, 109"
bodily_process,tears,"92, 280"
United_States_liquid_unit,gallon,"86, 275"
United_States_liquid_unit,liquid_unit,"86, 275"
liquid_unit,volume_unit,"86, 275"
disorder,sleep_disorder,"53, 105"
insomnia,sleep_disorder,"53, 105"
